,description,link,location,phone,service_name,va_facility
2991,"The NAVAHCS Emergency Department provides 24 hour, 7 day a week service for all eligible Veterans.",http://www.prescott.va.gov/services/Emergency_Department.asp,Building 117,928-445-4860 Ext. 6240,Emergency Department,prescott
2992,Serving as a resource to connect former POWs with the services they may need.,http://www.prescott.va.gov/services/Former_Prisoner_of_War_Advocate.asp,Building 117,928-445-4860 Ext. 6549,Former Prisoner of War Advocate,prescott
2993,General Surgery involves surgical treatments and evaluation of routine surgical issues.  Outpatient minor surgical procedures are performed at NAVAHCS.,http://www.prescott.va.gov/services/General_Surgery.asp,Northern Arizona VA Health Care System,928-445-4860,General Surgery,prescott
2994,The HUD-VASH program is designed to support the national goal of ending chronic homelessness.,http://www.prescott.va.gov/services/HUD_VASH_Program.asp,Building 151Lower C,928-445-4860 Ext. 5303,HUD-VASH Program,prescott
2995,The mission of the HCHV program is to end homelessness among Veterans through outreach efforts and community partnerships.,http://www.prescott.va.gov/services/Health_Care_for_Homeless_Veterans.asp,Building 151Lower C,928-445-4860 Ext. 5303,Health Care for Homeless Veterans,prescott
2996,The HPDP Program provides education to help promote good health and prevent chronic disease from developing.,http://www.prescott.va.gov/services/Health_Promotion_Disease_Prevention_HPDP_Program.asp,"500 Hwy 89Bldg 117, Room 151",928-445-4860 Ext. 6815,Health Promotion Disease Prevention (HPDP) Program,prescott
2997,"Primary health care in the home using a hospital based interdisciplinary team for homebound and often bedridden, eligible Veterans.",http://www.prescott.va.gov/services/Home_Based_Primary_Care.asp,Northern Arizona VA Health Care System,928-445-4860 Ext. 5468,Home Based Primary Care,prescott
2998,Inpatient Hospice and Palliative Service provides specialized care to Veterans and their family members if they are facing a terminal illness.,http://www.prescott.va.gov/services/Hospice_and_Palliative_Care.asp,Community Living CenterBuilding 148Second Floor,928-445-4860 Ext. 6314,Hospice and Palliative Care,prescott
2999,"The Infection Control Team is made up of physicians, nurses and other professionals specifically trained in the areas of Infectious Disease and Infection Control.",http://www.prescott.va.gov/services/Infection_Control.asp,Building 14,928-445-4860 Ext. 6622,Infection Control,prescott
3000,"Maximizing strength, coordination, and range of motion in our patients so that their level of function and independence is increased.",http://www.prescott.va.gov/services/Kinesiotherapy.asp,Build 148First Floor,928-445-4860,Kinesiotherapy,prescott
3001,Collecting blood samples and performing in many tests that aid physicians in the diagnosis and treatment of a variety of conditions.,http://www.prescott.va.gov/services/Laboratory.asp,Building 107First Floor,928-445-4860,Laboratory,prescott
3002,The Medical Foster Home (MFH) Program provides an alternative to nursing home placement and long-term care.,http://www.prescott.va.gov/services/Medical_Foster_Home.asp,Northern Arizona VA Health Care System,928-445-4860 Ext. 5421,Medical Foster Home,prescott
3003,"Optimizing the health, quality of life and community functioning of Veterans with serious mental illnesses who are high users of VHA mental health inpatient services.",http://www.prescott.va.gov/services/Mental_Health_Intensive_Case_Management_MHICM.asp,"Moduler Building, up the hill from Bldg. 161 - New Mental Health Clinic500 Hwy 89 N.Prescott, AZ",928-445-4860 Ext. 6071,Mental Health Intensive Case Management (MHICM),prescott
3004,"Providing residential rehabilitation and treatment services for Veterans with multiple medical conditions, mental illness, addiction, or psychosocial issues.",http://www.prescott.va.gov/services/Mental_Health_Residential_Rehabilitation_Treatment_Program_MH_RRTP.asp,Building 151Domiciliary,928-445-4860 Ext. 7524,Mental Health Residential Rehabilitation Treatment Program (MH RRTP),prescott
3005,"Mental Health Services provide intake assessments, medication management and individual and group psychotherapy, including evidence-based treatments.",http://www.prescott.va.gov/services/Mental_Health_Services.asp,Building 1552nd FloorBuilding 161,928-445-4860 Ext. 6071  928-445-4860 Ext. 4827,Mental Health Services,prescott
3006,Therapy related to military sexual trauma.,http://www.prescott.va.gov/services/Military_Sexual_Trauma_MST.asp,Building 161Room 109,928-445-4860 Ext. 6456,Military Sexual Trauma (MST),prescott
3007,MOVE! is an evidence-based patient-centered weight management program for medically overweight or obese Veterans.,http://www.prescott.va.gov/services/Move.asp,Northern Arizona VA Health Care System,928-445-4860 Ext. 6821  928-445-4860 Ext. 6229,Move!,prescott
3008,My HealtheVet is the VA's online personal health record.,http://www.prescott.va.gov/services/MyHealtheVet.asp,Building 117,928-445-4860 Ext. 6815,MyHealtheVet,prescott
3009,Providing diagnostic and therapeutic services through the use of radioisotopes.,http://www.prescott.va.gov/services/Nuclear_Medicine.asp,Building 107,928-445-4860 Ext. 6560,Nuclear Medicine,prescott
3010,"Nutrition and Food Service prepares and provides nutritious meals, snacks and nourishments for our inpatients and long-term care residents.",http://www.prescott.va.gov/services/Nutrition_and_Food_Service.asp,Northern Arizona VA Health Care System,928-445-4860,Nutrition and Food Service,prescott
3011,Oncology is the area of medicine that deals with the study and treatment of cancer.,http://www.prescott.va.gov/services/Oncology.asp,Building 107Main HospitalRoom 318,928-445-4860,Oncology,prescott
3012,"Handling issues that cannot be resolved, are delicate in nature, or involve more than one Service Line.",http://www.prescott.va.gov/services/Patient_Advocate.asp,Building 117,928-776-6008,Patient Advocate,prescott
3013,"Partnering with Veterans with a team-based approach. The Veteran is not just the patient but a vital member of that team in providing ""whole-person"" care.",http://www.prescott.va.gov/services/Patient_Aligned_Care_Teams_PACT.asp,Building 117Building 158,928-445-4860,Patient Aligned Care Teams (PACT),prescott
3014,Providing a variety of Clinicians who participate in teaching and planning programs to meet your health education needs.,http://www.prescott.va.gov/services/Patient_Health_Education.asp,Building 117,928-445-4860 Ext. 6815,Patient Health Education,prescott
3015,The travel department pays mileage to eligiable Veterans who have scheduled medical appointments at the Northern Arizona VA Health Care System.,http://www.prescott.va.gov/services/Travel_Clerk_Patient_Travel.asp,Building 117First Floor,928-445-4860,Patient Travel,prescott
3016,"Providing diagnostic, physical, psychosocial, educational, vocational and recreational activities for the full treatment of Veterans.",http://www.prescott.va.gov/services/Physical_Medicine_and_Rehabilitation_PM_R_Clinic.asp,Building 107Second Floor,928-445-4860 Ext. 7437,Physical Medicine and Rehabilitation (PM&R) Clinic,prescott
3017,"The Physical Therapy staff at the Prescott VA Medical Center provides evaluations of muscle strength, sensibility, and joint function.",http://www.prescott.va.gov/services/Physical_Therapy.asp,Building 107Second Floor,928-445-4860 Ext. 7437,Physical Therapy,prescott
3018,The Podiatric Surgery Department provides comprehensive foot and ankle care to Veterans.,http://www.prescott.va.gov/services/Podiatry.asp,Building 107Second Floor (2A),928-445-4860 Ext. 6052,Podiatry,prescott
3019,"Providing medically prescribed equipment, supplies, devices and Prosthetic and Orthotic services for home use by eligible Veterans.",http://www.prescott.va.gov/services/Prosthetics_and_Sensory_Aids_Service.asp,Building 156,928-445-4860 Ext. 6129,Prosthetics and Sensory Aids Service,prescott
3020,Outpatient program serving as a recovery center for those with serious mental illness that also have serious difficulty functioning in one or more areas of life.,http://www.prescott.va.gov/services/Pyschosocial_Rehabilitation_and_Recovery_Center_PRRC.asp,"Moduler Building, up the hill from the New Mental Health Clinic, Bldg. 161500 Hwy 89 N.Prescott, AZ",928-445-4860 Ext. 5300,Pyschosocial Rehabilitation and Recovery Center (PRRC),prescott
3021,Broad range of activities and programs to assist Veteran patients with learning how to best use their spare time and how to cope recreationally with injuries.,http://www.prescott.va.gov/services/recreation_Therapy.asp,Building 151 & Building 148,928-445-4860 Ext. 7402,Recreation Therapy,prescott
3022,Providing temporary care to Veterans who are in need of assistance with activities of daily living. This service is provided on a short-term basis.,http://www.prescott.va.gov/services/Respite_Care_Program.asp,Building 148,928-445-4860,Respite Care Program,prescott
3023,Caring for the special needs of our OEF/OIF/OND Veterans.,http://www.prescott.va.gov/services/Returning_Service_Members.asp,Building 107,928-445-4860 Ext. 6308  928-445-4860 Ext. 6328,Returning Service Members,prescott
3024,Social Workers collaborate with community agencies and advocacy groups to enhance the care and services provided to Veterans and their family members.,http://www.prescott.va.gov/services/Social_Work_Service.asp,Building 151C4,928-445-4860 Ext. 2770,Social Work Service,prescott
3025,The VA Microbiology staff performs all the Microbiological testing that is ordered by physicians.  Tests include a multitude of specimen types and test methodologies.,http://www.prescott.va.gov/services/Specialty_Clinic_Lab_Microbiology.asp,Building 107First Floor,928-445-4860 Ext. 7414,Specialty Clinic Lab (Microbiology),prescott
3026,"Providing evaluation and treatment for slurred speech, breakdown of language, voice problems, memory problems, swallowing problems and other communication disorders.",http://www.prescott.va.gov/services/Speech_Pathology.asp,Building 148First floor,928-445-4860 Ext. 7516,Speech Pathology,prescott
3027,"Implementation of suicide prevention strategies through education, monitoring and coordination of care.",http://www.prescott.va.gov/services/Suicide_Prevention_Program.asp,Building 155Second Floor,928-445-4860 Ext. 2705  928-445-4860 Ext. 6071,Suicide Prevention Program,prescott
3028,Call center that provides After-Hour Care for contracted facilities from Registered Nurses.,http://www.prescott.va.gov/services/Tele_Nurse_Triage_After_Hours_Program.asp,Northern Arizona VA Health Care System,928-445-4860,Tele-Nurse Triage After-Hours Program,prescott
3029,"Veteran patients with chronic diseases such as diabetes, heart failure and chronic pulmonary disease can be monitored at home using home Telehealth technologies.",http://www.prescott.va.gov/services/Telehealth_Home_Telehealth_Overview.asp,Building 107,928-445-4860 Ext. 6337,Telehealth (Home Telehealth Overview),prescott
3030,Tobacco Cessation Program helps Veterans and staff who want to quit tobacco for good.,http://www.prescott.va.gov/services/Tobacco_Cessation.asp,Building 117,928-445-4860 Ext. 6837,Tobacco Cessation,prescott
3031,The Northern Arizona VA Health Care System has staff to assist Veterans in the transplant process.,http://www.prescott.va.gov/services/Transplant_Program.asp,Building 107First Floor,928-445-4860 Ext. 6337,Transplant Program,prescott
3032,Providing referrals for patients with a wide range of complex urologic problems.,http://www.prescott.va.gov/services/Urology.asp,Building 107Second Floor (2A),928-445-4860 Ext. 6661,Urology,prescott
3033,Conduct interviews with Veterans and their family members to assist in the claims process for those seeking compensation and pension and education benefits.,http://www.prescott.va.gov/services/Veteran_Service_Organizations.asp,Building 13,928-445-4860 Ext. 6078,Veteran Service Organizations,prescott
3034,Avoid the unnecessary criminalization of mental illness and extended incarceration among our Veterans.,http://www.prescott.va.gov/services/Veterans_Justice_Outreach_Program_VJO.asp,Building 78,928-445-4860 Ext. 5303,Veterans Justice Outreach Program (VJO),prescott
3035,Every day volunteers help us provide the highest quality care for our Veterans.  NAVAHCS has over 468 volunteers.,http://www.prescott.va.gov/services/Voluntary_Service.asp,Building 15 - TheaterRoom 101 & 106,928-776-6013,Voluntary Service,prescott
3036,The Northern Arizona VA Health Care System Women's Health Program features a wide range of programs and services to meet the unique needs of female Veterans.,http://www.prescott.va.gov/services/Women_s_Health.asp,Building 158,928-445-4860 Ext. 6688,Women's Health,prescott
3037,Information and resources for patients and families members with ALS-Amyotrophic lateral sclerosis,http://www.providence.va.gov/services/ALS.asp,SENSORY and PHYS. REHAB. SERVICE-Basement,401-273-7100 Ext. 3234,ALS,providence
3038,Audiology Clinic services provided include Evaluations Assessments Hearing Aid evaluations Assisted Living device evaluations and more,http://www.providence.va.gov/services/Audiology.asp,"Eagle Square-Providence, RIandNew Bedford, MA",401-455-4949  508-984-8690,Audiology,providence
3039,"Whether you and the Veteran you care for could use some help at home or you just need someone to listen, we're here to support you.",http://www.providence.va.gov/services/Caregiver_Program.asp,Providence VAMC,401-273-7100 Ext. 3283   401-273-7100 Ext. 4249,Caregiver Program,providence
3040,information for Lesbian Gay Bisexual and Transgender Veterans,http://www.providence.va.gov/services/Gay_Lesbian_Bisexual_and_Transgender_Veterans.asp,PVAMC,401-273-7100 Ext. 3293,Lesbian Gay Bisexual and Transgender Veterans,providence
3041,Clinical services provided to Veterans for oncology and hematology.,http://www.providence.va.gov/services/Oncology_Hematology.asp,"PVAMC, 4th Floor",401-273-7100 Ext. 3450  401-273-7100 Ext. 3199,Oncology / Hematology,providence
3042,PVAMC Out-Patient Pharmacy Process Improvements,http://www.providence.va.gov/services/Out_Patient_Pharmacy_Process.asp,"PVAMC, First Floor 1A",401-273-7100,Out-Patient Pharmacy Process Improvements,providence
3043,"PVAMC prescription, RX information",http://www.providence.va.gov/services/pharmacy.asp,Main Building - 1A,401-273-7100 Ext. 3994  866-363-4486,Pharmacy,providence
3044,Staff can assist you with requests for medical records and are experts in our patients' rights and their health records.,http://www.providence.va.gov/services/Release_of_Information.asp,"PAMC, Basement (D011)",401-273-7100 Ext. 3481/3482/3485,Release of Information,providence
3045,VA is ready to provide health care and other medical services to our nation's returning OEF/OIF/OND Servicemembers.,http://www.providence.va.gov/services/Returning_Service_Members.asp,Providence VAMC,401-273-7100 Ext. 6137,Returning Service Members,providence
3046,"Social Work Services, Geriatrics & Extended Care",http://www.providence.va.gov/services/Social_Work_Services.asp,"PVAMC, Building 2, 2nd floor",401-273-7100 Ext. 6105,Social Work Services / Geriatrics & Extended Care (GEC),providence
3047,Services available to women Veterans include comprehensive primary care as well as specialty care such as reproductive services and treatment for military sexual trauma.,http://www.providence.va.gov/services/Women_Veterans.asp,Providence VAMC,401-273-7100 Ext. 6191,Women Veterans,providence
3048,Our audiology services provide a full range of diagnoses and assistance with many hearing issues.,http://www.pugetsound.va.gov/services/audiology.asp,"Seattle Division - 126American Lake Division - 117, Bldg 85Mount Vernon - S123",206-764-2404  253-583-1803,Audiology,pugetsound
3049,Health Plan Management administers Veterans Fee Services and Beneficiary Travel,http://www.pugetsound.va.gov/services/Health_Plan_Management.asp,"Seattle Division, Enrollment Office, Main EntranceAmerican Lake, Enrollment Office, Building 18",206-762-1010  253-582-8440,Bene Travel,pugetsound
3050,VA Puget Sound Health Care System offers outpatient vision rehabilitation services at both its Seattle and American Lake Divisions.,http://www.pugetsound.va.gov/services/blindrehab.asp,VA Puget Sound Health Care System,206-764-2758  253-583-1287,Blind Rehabilitation,pugetsound
3051,The VA Puget Sound Cancer Care program provides care for persons with cancer including a marrow transplant program and a tumor registry.,http://www.pugetsound.va.gov/services/Cancerprogram.asp,Cancer Care ClinicSeattle Division,206-764-2414  800-329-8387 Ext. 62414,Cancer Program,pugetsound
3052,"VA chaplains provide spiritual and emotional support for patients, family members, friends and staff from all religious traditions.",http://www.pugetsound.va.gov/services/chaplain.asp,VA Puget Sound Health Care System,206-764-2023  253-582-3523,Chaplain Service,pugetsound
3053,Clinical Pastoral Education is theological and professional education for ministry.,http://www.pugetsound.va.gov/services/Clinical_Pastoral_Education.asp,VA Puget Sound Health Care System,206-768-5210,Clinical Pastoral Education,pugetsound
3054,Community Reintegration Services assists Veterans to reach their highest level of productivity by preparing them for re-entry into the community and the workforce.,http://www.pugetsound.va.gov/services/CRS.asp,VA Puget Sound Health Care System,253-583-1800  206-277-5569,Community Reintegration Services,pugetsound
3055,The VA Puget Sound Health Care System Decedent Affairs Office provides guidance and information regarding VA Burial Benefits for eligible Veterans and their families.,http://www.pugetsound.va.gov/services/Decedent_Affairs.asp,VA Puget Sound Health Care System,206-764-2150,Decedent Affairs,pugetsound
3056,Diagnostic Imaging offers an extensive range of imaging services. These images help with the diagnosis and treatment of any number of medical conditions.,http://www.pugetsound.va.gov/services/Diagnostic_Imaging.asp,"Seattle Division - Bldg 100, 2nd floor, Room 2D-100American Lake Division - Bldg 81, Room 205",206-764-2444  253-583-1918,Diagnostic Imaging,pugetsound
3057,"We function as a center of excellence in research, education and clinical care activities in the diagnosis and treatment of epilepsy.",http://www.pugetsound.va.gov/services/Epilepsy.asp,VA Puget Sound Health Care System,206-277-4292,Epilepsy Center of Excellence,pugetsound
3058,"The VA Fitness Center at VA Puget Sound-American Lake Division is open to patients with gym consults, employees and volunteers.",http://www.pugetsound.va.gov/services/Fitness_Center.asp,American Lake Division,253-583-1685,Fitness Center,pugetsound
3059,Health Plan Management administers Veterans Fee Services and Beneficiary Travel,http://www.pugetsound.va.gov/services/Health_Plan_Management.asp,"Seattle Division, Enrollment Office, Main EntranceAmerican Lake, Enrollment Office, Building 18",206-762-1010  253-582-8440,Health Plan Management,pugetsound
3060,"Classes focused on tobacco cessation, stress management, healthy eating and dieting, living well with chronic conditions and more.",http://www.pugetsound.va.gov/services/Healthy_Living_Classes.asp,VA Puget Sound Health Care System,206-762-1010  253-582-8440,Healthy Living Classes,pugetsound
3061,The MOVE Program is designed for veterans enrolled in the VA healthcare system who want assistance with managing their weight.,http://www.pugetsound.va.gov/services/Move_Program.asp,"American Lake DivisionBuilding 81, Room 354",253-582-8440 Ext. 76683  800-329-8387 Ext. 76683,MOVE! Program,pugetsound
3062,"Our mental health program provides consultation, evaluation, and treatment for a variety of issues that can impact emotional well-being.",http://www.pugetsound.va.gov/services/mentalhealth.asp,VA Puget Sound Health Care System,206-764-2007  253-583-1626,Mental Health,pugetsound
3063,MBSR teaches people practices they can use over the course of their life to reduce stress and promote health and wellness.,http://www.pugetsound.va.gov/services/mindfulness.asp,VA Puget Sound Health Care System,206-277-1721,Mindfulness Based Stress Reduction,pugetsound
3064,"The Minority Veterans Program ensures that all Minority Veterans receive quality care, service, and benefits to which they are entitled.",http://www.pugetsound.va.gov/services/minorityvetsprogram.asp,VA Puget Sound Health Care System,206-768-5363  253-589-4147,Minority Veterans Program,pugetsound
3065,The PTSD Program at the American Lake and Seattle divisions offer a variety of specialized services for Veterans with PTSD related to their military service.,http://www.pugetsound.va.gov/services/PTSD.asp,VA Puget Sound Health Care System,206-277-3456  253-583-2800,PTSD Resources,pugetsound
3066,Pain Clinic is our multi-disciplinary approach to chronic pain management.,http://www.pugetsound.va.gov/services/Functional_Restoration_Program_FRP.asp,American LakeSeattle,253-583-2892  206-277-5520,Pain Clinic,pugetsound
3067,"The VA Puget Sound pharmacy processes over 8,300 prescriptions daily. Many of these prescriptions are filled by the Central Mail Out Pharmacy.",http://www.pugetsound.va.gov/services/pharmacy.asp,Outpatient Pharmacies,253-583-3000  206-277-4000,Pharmacy,pugetsound
3068,Our primary care program offers an extensive range of treatments with an emphasis on health care prevention.,http://www.pugetsound.va.gov/services/primary.asp,VA Puget Sound Health Care System,800-329-8387 Ext. 71234,Primary Care,pugetsound
3069,"Our extended care and rehabilitation program provides physical medicine and rehabilitation, transitional care, as well as home and community care.",http://www.pugetsound.va.gov/services/rehabcare.asp,VA Puget Sound Health Care System,800-329-8387,Rehabilitation Care Services,pugetsound
3070,Our research and development program enhances our ability to provide state-of-the-art medical techniques and treatments to Veterans.,http://www.pugetsound.va.gov/services/research.asp,VA Puget Sound Health Care System,800-329-8387,Research and Development,pugetsound
3071,Social work is an integral part of health care. Our social work program assists veterans with counseling and community services.,http://www.pugetsound.va.gov/services/socialwork.asp,VA Puget Sound Health Care System,206-764-2646  800-329-8387 Ext. 62646,Social Work,pugetsound
3072,"Our specialty care program offers all surgical specialties as well as neurology, radiation, oncology, and audiology.",http://www.pugetsound.va.gov/services/specialty.asp,VA Puget Sound Health Care System,800-329-8387,Specialty Care,pugetsound
3073,"Our spinal cord injury program provides comprehensive care to patients who have suffered spinal cord injuries, including surgery and rehabilitation.",http://www.pugetsound.va.gov/services/sci.asp,Seattle Division,206-764-2502,Spinal Cord Injury,pugetsound
3074,The American Lake Division has an urgent care center available for Veterans.,http://www.pugetsound.va.gov/services/urgentcare.asp,American Lake Division,253-582-8440  800-329-8387,Urgent Care Services at American Lake,pugetsound
3075,"Whether you and the Veteran you care for could use some help at home or you just need someone to listen, we're here to support you.",http://www.reno.va.gov/services/Caregiver_Program.asp,Sierra Nevada Health Care System,775-328-1461  775-785-7110,Caregiver Program,reno
3076,"If you are a Veteran who has lost your home, receive the support you've earned to get back on your feet.",http://www.reno.va.gov/services/Homeless_Veterans.asp,Homeless Hotline,877-424-3838,Homeless Veterans,reno
3077,"Palliative care is a medical specialty provided to people with advanced, life-limiting illness.",http://www.reno.va.gov/services/Hospice_and_Palliative_Care.asp,Sierra Nevada Health Care System,775-785-7118,Hospice and Palliative Care,reno
3078,Dedicated Veteran Information and Referral (I&R) Center for Parkinson's Disease,http://www.reno.va.gov/services/Parkinson_s_Disease.asp,Dedicated Veteran Information and Referral Center,775-328-1715,Parkinson's Disease,reno
3079,Prescription refills are available in a number of ways.,http://www.reno.va.gov/services/pharmacy.asp,Sierra Nevada Health Care System,855-339-0376,Pharmacy,reno
3080,VA is ready to provide health care and other medical services to our nation's returning OEF/OIF/OND Servicemembers.,http://www.reno.va.gov/services/Returning_Service_Members.asp,Sierra Nevada Health Care System,775-786-7200 Ext. 1232,Returning Service Members,reno
3081,Services available to women Veterans include comprehensive primary care as well as specialty care such as reproductive services and treatment for military sexual trauma.,http://www.reno.va.gov/services/Women_Veterans.asp,Sierra Nevada Health Care System,775-786-7200 Ext. 1767,Women Veterans,reno
3082,"The Assistive Technology Program is responsible for evaluation, development and implementation of appropriate AT services, strategies, devices and/or practices.",http://www.richmond.va.gov/services/AT.asp,Hunter Holmes McGuire VA Medical Center,804-675-5000 Ext. 2134,Assistive Technology,richmond
3083,The Chaplain Service provides pastoral care to Veterans by helping to alleviate their issues of spiritual injury and distress.,http://www.richmond.va.gov/services/Chaplain_Service_at_Richmond_vamc.asp,Main Entrance ChapelFirst Floor near Eye Glass ClinicRoom C1X-1,804-675-5000 Ext. 2104  804-675-5000 Ext. 5125,Chaplain Service,richmond
3084,"The Dental Service is committed to improving the health of our patients by delivering comprehensive, state-of-the-art, quality dental care to eligible veterans.",http://www.richmond.va.gov/services/Dental_Service.asp,"Outpatient Dental ClinicMain Hospital, First floor, Room 1K",804-675-5251,Dental Service,richmond
3085,The geriatrics and extended care program at the Richmond VAMC offers a broad range of services.,http://www.richmond.va.gov/services/gec.asp,"Geriatrics Health Care Center (GHCC)First floor, Room 1P-140",804-675-5553,Geriatrics and Extended Care,richmond
3086,Richmond VAMC's medical service offers an extensive range of inpatient and outpatient treatment.,http://www.richmond.va.gov/services/medical_service.asp,Hunter Holmes McGuire VA Medical Center,804-675-5000 Ext. 5111,Medical Service,richmond
3087,"Our mental health program provides consultation, evaluation, and treatment for a variety of issues that can impact emotional well-being.",http://www.richmond.va.gov/services/mentalhealth.asp,"Mental Hygiene Clinic (MHC)First floor, Room 1D-165",804-675-5000 Ext. 5411,Mental Health,richmond
3088,"Parkinson's Disease Research, Education, and Clinical Center (PADRECC) is a nationwide referral center providing care to patients with Parkinson's Disease.",http://www.richmond.va.gov/services/padrecc.asp,"PADRECC - Parkinson CenterSecond floor, Room 2C-110",804-675-5931,Parkinson's Disease,richmond
3089,"Prescriptions may be refilled by mail, phone, or online.",http://www.richmond.va.gov/services/pharmacy.asp,Outpatient Pharmacy,804-675-5010  800-784-8381,Pharmacy,richmond
3090,Physical medicine & rehabilitation service (PM&RS) strives to maximize the quality of life of persons with activity limitations.,http://www.richmond.va.gov/services/pmr.asp,"First floor, Room 1S",804-675-5000,Physical Medicine and Rehabilitation,richmond
3091,Our primary care program offers an extensive range of treatments with an emphasis on health care prevention.,http://www.richmond.va.gov/services/primary.asp,Hunter Holmes McGuire VA Medical Center,804-675-5000,Primary Care,richmond
3092,The predoctoral internship at the Richmond VAMC is fully accredited by the Commission on Accreditation of the American Psychological Association.,http://www.richmond.va.gov/services/Psychology.asp,"1201 Broad Rock BlvdRichmond, VA 23249",804-675-5000 Ext. 5106,Psychology Services,richmond
3093,Radiology at Richmond VA Medical Center is a medical specialty that employs the use of imaging to both diagnose and treat disease visualized within the human body.,http://www.richmond.va.gov/services/Radiology.asp,Richmond VAMCFirst Floor,804-675-5000,Radiology,richmond
3094,Our research and development program enhances our ability to provide state-of-the-art medical techniques and treatments to veterans.,http://www.richmond.va.gov/services/research.asp,Hunter Holmes McGuire VA Medical Center,804-675-5151,Research,richmond
3095,Social work is an integral part of health care. Our social work program assists veterans with counseling and community services.,http://www.richmond.va.gov/services/socialwork.asp,Hunter Holmes McGuire VA Medical Center,804-675-5000,Social Work,richmond
3096,"Our spinal cord injury program provides comprehensive care to patients who have suffered spinal cord injuries, including surgery and rehabilitation.",http://www.richmond.va.gov/services/sci.asp,"SCI Outpatient ClinicFirst floor, Room 1V",804-675-5000 Ext. 5128,Spinal Cord Injury (SCI),richmond
3097,The Richmond VAMC offers current paid Spinal Cord Injury research protocols.,http://www.richmond.va.gov/services/sciresearch.asp,"First floor, Room 1V",804-675-6200,Spinal Cord Injury (SCI) Research,richmond
3098,"Our surgical specialty care program offers all surgical specialties as well as neurology, radiation, oncology, and audiology.",http://www.richmond.va.gov/services/specialty.asp,Hunter Holmes McGuire VA Medical Center,804-675-5000,Surgical Specialty Care,richmond
3099,VLER Health is a free and voluntary program to share parts of your medical record with the Department of Defense and other hospitals over a secure Internet network.,http://www.richmond.va.gov/services/VLER_Program.asp,"Centralized Registration, First floor",877-771-VLER,Virtual Lifetime Electronic Record (VLER),richmond
3100,Vision and Blind Rehabilitation Services are available for VHA eligible Veterans and Active Duty Servicemembers.,http://www.richmond.va.gov/services/Vision_and_Blind_Rehabilitation_VISOR.asp,Richmond VA Medical CenterRed ClinicRoom 1-B-006 C,804-675-5221,Vision and Blind Rehabilitation,richmond
3101,Womens Veterans Health Program offers gender-specific Health services,http://www.richmond.va.gov/services/Women_Veterans_Health_Program.asp,Hunter Holmes McGuire VA Medical Center,804-675-5389,Women Veterans Health Program,richmond
3102,The Canteen Service offers hot and cold food and a retail store.,http://www.roseburg.va.gov/services/Canteen_Service.asp,Building 71 Adjacent to the Food and Nutrition ServiceFollow signs from the main hospital building,541-440-1000 Ext. 44710  541-440-1000 Ext. 44713,Canteen Service,roseburg
3103,Human Resources Management,http://www.roseburg.va.gov/services/Careers.asp,Human ResourcesBldg 17,541-440-1260  800-549-8387,Careers,roseburg
3104,Lost or found items,http://www.roseburg.va.gov/services/Lost_and_Found.asp,Emergency Dept. Rm E126BBuilding One,541-440-1000 Ext. 41250,Lost and Found,roseburg
3105,Contact the VA Roseburg Public Affairs Specialist for media queries,http://www.roseburg.va.gov/services/News_Media.asp,Public Affairs Office,541-440-1000 Ext. 44101,News Media,roseburg
3106,Find the VA Roseburg Healthcare System Patient Advocates. No appointment necessary.,http://www.roseburg.va.gov/services/Patient_Advocates.asp,"Bldg 1, 1st floor Room D107 A and B",541-440-1000 Ext. 41206,Patient Advocates,roseburg
3107,The VA Roseburg Healthcare System refills prescriptions by phone or the Internet.,http://www.roseburg.va.gov/services/pharmacy.asp,"Outpatient PharmacyBldg 1, 2nd floor",800-549-8387 Ext. 41322  541-440-1322,Pharmacy,roseburg
3108,VA Roseburg Prosthetics and And Sensory Aids Service,http://www.roseburg.va.gov/services/Prosthetic.asp,"Bldg 1, 1st floor Room D105",541-440-1221  800-549-8387,Prosthetic,roseburg
3109,Povides dental treatment to eligible Veterans at Aleda E Lutz VA Medical Center,http://www.saginaw.va.gov/services/Dental_Clinic.asp,Aleda E. Lutz VA Medical Center,989-321-4570  800-406-5143,Dental Clinic,saginaw
3110,Information on the Saginaw VA Family Support and Education Program.,http://www.saginaw.va.gov/services/Family_Support_and_Education_Program.asp,Aleda E. Lutz VA Medical Center,989-497-2500,Family Support and Education Program,saginaw
3111,Information on the Saginaw VA Former Prisoners of War program.,http://www.saginaw.va.gov/services/Former_Prisoners_of_War_Information.asp,Aleda E. Lutz VA Medical Center,989-497-2500 Ext. 11959,Former Prisoners of War Information,saginaw
3112,"Provides care in the Community Living Center, as well as Outpatient services, including Home Based Primary Care, Adult Day Health Care, Home Maker/Home Health Aid...",http://www.saginaw.va.gov/services/ecrc.asp,Bldg 22,989-497-2500  800-406-5143,Geriatric Extended Care,saginaw
3113,Learn more about what you can do to improve your health and well-being.,http://www.saginaw.va.gov/services/Health_Promotion_Disease_Prevention.asp,Aleda E. Lutz VA Medical Center,989-497-2500  800-406-5143,Health Promotion Disease Prevention (HPDP),saginaw
3114,"Our mental health program provides consultation, evaluation, and treatment for a variety of issues that can impact emotional well-being.",http://www.saginaw.va.gov/services/mentalhealth.asp,Aleda E. Lutz VA Medical Center,989-497-2500 Ext. 11959  800-406-5143,Mental Health,saginaw
